"product_id","product_name","category","supplier_name","supplier_contact","warehouse_location","quantity_in_stock","reorder_level","unit_price","last_restocked_date","expiry_date","batch_number","status","id"
P001,Rice Basmati 5kg,Grains,AgroSupply Co,"9876543210",Warehouse A,500,100,250.00,"2024-01-15","2025-06-30",BATCH001,Active,1
P002,Sunflower Oil 1L,Oils,PureOil Ltd,"9123456780",Warehouse B,300,50,120.00,"2024-02-10","2025-03-31",BATCH002,Active,2
P003,Sugar 1kg,Grocery,SweetFarm,"9988776655",Warehouse A,800,200,45.00,"2024-01-20","2026-01-01",BATCH003,Active,3
P004,Wheat Flour 10kg,Grains,FlourMill Inc,"8877665544",Warehouse C,150,50,380.00,"2024-03-05","2025-09-15",BATCH004,Active,4
P005,Salt 500g,Grocery,MineralCorp,"7766554433",Warehouse B,1200,300,18.00,"2024-02-28","2027-12-31",BATCH005,Active,5
P006,Mustard Oil 1L,Oils,GoldenOil,"9811223344",Warehouse A,400,80,135.00,"2024-01-18","2025-08-31",BATCH006,Active,6
P007,Turmeric Powder 200g,Spices,SpiceTrade,"8899001122",Warehouse B,600,150,60.00,"2024-01-30","2026-06-30",BATCH007,Active,7
P008,Cumin Seeds 250g,Spices,HerbsWorld,"9900112233",Warehouse C,250,75,110.00,"2024-03-20","2026-08-31",BATCH008,Active,8
P009,Red Chilli Powder 100g,Spices,SpiceKing,"9811001122",Warehouse A,450,100,75.00,"2024-02-15","2026-04-30",BATCH009,Active,9
P010,Coriander Powder 200g,Spices,SpiceWorld,"9700990011",Warehouse B,380,90,55.00,"2024-01-05","2026-01-31",BATCH010,Active,10
P011,Cloves 50g,Spices,SpiceHub,"9848786858",Warehouse A,200,60,290.00,"2024-02-01","2026-11-30",BATCH014,Active,11
P012,Pepper Black 100g,Spices,SpiceKing,"9900112233",Warehouse A,180,60,140.00,"2024-02-01","2025-11-30",BATCH015,Active,12
P013,Coriander Seeds 250g,Spices,SpiceWorld,"9848786858",Warehouse A,500,120,55.00,"2024-01-05","2026-01-31",BATCH029,Active,13
P014,Fenugreek Seeds 250g,Spices,ElitSpice,"9848786858",Warehouse B,150,40,70.00,"2024-02-22","2026-09-30",BATCH030,Active,14
P015,Ajwain 100g,Spices,SpiceHub,"9848786858",Warehouse C,200,60,85.00,"2024-03-08","2026-11-30",BATCH031,Active,15
P016,Kalonji 100g,Spices,SpiceHub,"9848786858",Warehouse A,180,55,95.00,"2024-01-28","2026-07-31",BATCH032,Active,16
P017,Star Anise 50g,Spices,HerbsCo,"9848786858",Warehouse B,120,35,160.00,"2024-02-05","2026-10-31",BATCH033,Active,17
P018,Mace Powder 50g,Spices,SpiceKing,"9848786858",Warehouse C,90,25,320.00,"2024-03-15","2026-08-31",BATCH034,Active,18
P019,Coffee Powder 200g,Beverages,BeanRoast,"9534567890",Warehouse C,320,80,350.00,"2024-04-17","2025-12-31",BATCH039,Active,19
P020,Herbal Tea 50g,Beverages,NatureTea,"9423456789",Warehouse A,200,60,220.00,"2024-01-10","2026-04-17",BATCH040,Active,20
P021,Instant Noodles,Grocery,NoodleKing,"9312345678",Warehouse B,700,180,35.00,"2024-01-01","2025-06-15",BATCH041,Active,21
P022,Pasta 500g,Grocery,ItalFoods,"9201234567",Warehouse C,500,120,65.00,"2024-02-15","2026-01-31",BATCH042,Active,22
P023,Almond 250g,Dry Fruits,NutMart,"9201234567",Warehouse C,120,40,450.00,"2024-01-18","2026-12-31",BATCH047,Active,23
P024,Cashew 250g,Dry Fruits,NutPremium,"9190123456",Warehouse A,90,30,680.00,"2024-02-08","2026-10-31",BATCH048,Active,24
P025,Raisins 500g,Dry Fruits,FruitDry Co,"9089012345",Warehouse B,200,60,280.00,"2024-03-12","2026-08-31",BATCH049,Active,25
P026,Pistachios 250g,Dryfruits,NutWorld,"8978901234",Warehouse C,70,25,920.00,"2024-01-30","2026-09-30",BATCH050,Active,26
P027,Dates 500g,Dry Fruits,OrchardFarm,"8867890123",Warehouse A,180,50,310.00,"2024-02-22","2026-11-30",BATCH051,Active,27
P028,Oats 500g,Cereals,HealthGrain,"8756789012",Warehouse B,450,100,130.00,"2024-01-22","2026-03-31",BATCH052,Active,28
P029,Muesli 400g,Cereals,FitFood,"8645678901",Warehouse C,300,75,210.00,"2024-02-18","2026-05-31",BATCH053,Active,29
P030,Cornflakes 500g,Cereals,CrunchBrand,"8534567890",Warehouse A,380,90,175.00,"2024-03-03","2026-07-31",BATCH054,Active,30
P031,Honey 500g,Natural,BeeNatural,"9534123456",Warehouse B,160,50,320.00,"2024-01-14","2027-01-31",BATCH055,Active,31
P032,Peanut Butter 400g,Grocery,NutButter,"9423012345",Warehouse C,220,60,280.00,"2024-02-25","2026-06-30",BATCH056,Active,32
P033,Jam Strawberry 500g,Grocery,FruitJam,"9312901234",Warehouse A,300,75,180.00,"2024-03-15","2025-09-30",BATCH057,Inactive,33
P034,Pickle Mango 400g,Condiments,PicklePro,"9201890123",Warehouse B,250,70,95.00,"2024-01-28","2025-12-31",BATCH058,Inactive,34
P035,Ketchup 400g,Condiments,SauceMart,"9090789012",Warehouse C,400,100,75.00,"2024-02-10","2025-08-31",BATCH059,Pending,35
P036,Mayonnaise 300g,Condiments,CreamSauce,"8979678901",Warehouse A,180,50,120.00,"2024-03-05","2025-06-30",BATCH060,Pending,36
P037,Black Beans 500g,Pulses,BeanFarm,"9201890123",Warehouse A,250,70,95.00,"2024-02-05","2026-11-30",BATCH062,Active,37
P038,Kidney Beans 500g,Pulses,RedBean Co,"9890789012",Warehouse B,180,55,105.00,"2024-03-22","2026-10-31",BATCH063,Active,38
P039,Moong Dal 500g,Pulses,GreenGram,"9789678901",Warehouse C,320,90,80.00,"2024-01-12","2026-08-31",BATCH064,Active,39
P040,Toor Dal 1kg,Pulses,DalFarm,"9678567890",Warehouse A,400,100,120.00,"2024-02-18","2026-07-31",BATCH065,Active,40
P041,Chana Dal 500g,Pulses,LegumeKing,"9567456789",Warehouse B,280,75,90.00,"2024-03-08","2026-06-30",BATCH066,Active,41
P042,Urad Dal 500g,Pulses,WhiteDal,"9456345678",Warehouse C,350,90,95.00,"2024-01-25","2026-05-31",BATCH067,Active,42
P043,Sesame Seeds 250g,Seeds,SeedFarm,"9678567890",Warehouse A,450,100,70.00,"2024-02-28","2026-12-31",Not Available,Active,43
P044,Flaxseeds 250g,Seeds,NutraSeed,"9567456789",Warehouse B,200,60,95.00,"2024-03-05","2026-11-30",Not Available,Active,44
P045,Chia Seeds 200g,Seeds,SuperSeed,"9456345678",Warehouse C,150,45,180.00,"2024-01-15","2026-10-31",Not Available,Active,45
P046,Sunflower Seeds 250g,Seeds,SunSeed,"9345234567",Warehouse A,250,70,65.00,"2024-02-22","2026-09-30",Not Available,Active,46
P047,RiceSpecial 2kg,Grains,TopSupply,"9534123456",Warehouse B,400,100,210.00,"2024-02-25","2026-02-28",BATCH072,Active,47
P048,SugarFree 500g,Grocery,HealthCorp,"9423012345",Warehouse A,300,80,88.00,"2024-03-15","2026-06-30",BATCH073,Active,48
P049,Raj123 Dal 1kg,Pulses,FarmFresh,"9312901234",Warehouse C,500,120,99.00,"2024-01-30","2026-09-30",BATCH074,Active,49
P050,Spice Mix 200g,Spices,SpiceKing,"9201890123",Warehouse A,300,80,125.00,"2024-02-08","2026-08-31",BATCH075,Active,50
P051,CinnamonPowder,Spices,SitaFoods,"9090789012",Warehouse B,220,65,175.00,"2024-03-20","2026-07-31",BATCH076,Active,51
P052,Raj123 Coffee,Beverages,BeanMart,"8979678901",Warehouse C,180,55,420.00,"2024-01-12","2025-11-30",BATCH077,Active,52
P053,Vanilla Extract 50ml,Baking,BakeEssentials,"9312345678",Warehouse A,0,20,280.00,"2024-01-18","2025-09-30",BATCH084,Inactive,53
P054,Baking Powder 100g,Baking,RisePro,"9201234567",Warehouse B,0,30,45.00,"2024-02-05","2026-03-31",BATCH085,Inactive,54
P055,Baking Soda 200g,Baking,BakeChem,"9090123456",Warehouse C,0,25,35.00,"2024-03-12","2026-06-30",BATCH086,Inactive,55
P056,Vinegar 500ml,Condiments,AcidFoods,"9534567890",Warehouse A,320,80,65.00,"2024-01-22","2025-10-31",BATCH087,Active,56
P057,Tamarind 250g,Grocery,SourFarm,"9423456789",Warehouse B,400,100,85.00,"2024-02-18","2026-02-28",BATCH088,Active,57
P058,Jaggery 1kg,Grocery,SweetNatural,"9312345678",Warehouse C,550,130,110.00,"2024-03-05","2026-08-31",BATCH089,Active,58
P059,Rock Salt 1kg,Grocery,MineralNatural,"9201345678",Warehouse A,700,150,55.00,"2024-01-28","2027-06-30",BATCH090,Active,59
P060,Tapioca Pearls 500g,Grocery,PearlFarm,"9090234567",Warehouse B,200,60,70.00,"2024-02-12","2026-04-30",BATCH091,Inactive,60
P061,Arrowroot 200g,Grocery,NaturalStarch,"8979123456",Warehouse C,150,45,90.00,"2024-03-18","2026-06-30",BATCH092,Active,61
P062,Peanuts 500g,Dry Fruits,NutFarm,"9456345678",Warehouse A,600,150,110.00,"2024-01-08","2026-07-31",BATCH093,Active,62
