product_id,product_name,category,supplier_name,supplier_contact,warehouse_location,quantity_in_stock,reorder_level,unit_price,last_restocked_date,expiry_date,batch_number,status
P001,Rice Basmati 5kg,Grains,AgroSupply Co,9876543210,Warehouse A,500,100,250,2024-01-15,2025-06-30,BATCH001,Active
P002,Sunflower Oil 1L,Oils,PureOil Ltd,9123456780,Warehouse B,300,50,120,2024-02-10,2025-03-31,BATCH002,Active
P003,Sugar 1kg,Grocery,SweetFarm,9988776655,Warehouse A,800,200,45,2024-01-20,2026-01-01,BATCH003,Active
P004,Wheat Flour 10kg,Grains,FlourMill Inc,8877665544,Warehouse C,150,50,380,2024-03-05,2025-09-15,BATCH004,Active
P005,Salt 500g,Grocery,MineralCorp,7766554433,Warehouse B,1200,300,18,2024-02-28,2027-12-31,BATCH005,Active
P006,Mustard Oil 1L,Oils,GoldenOil,9811223344,Warehouse A,400,80,135,2024-01-18,2025-08-31,BATCH006,Active
P007,Turmeric Powder 200g,Spices,SpiceTrade,8899001122,Warehouse B,600,150,60,2024-01-30,2026-06-30,BATCH007,Active
P008,Cumin Seeds 250g,Spices,HerbsWorld,9900112233,Warehouse C,250,75,110,2024-03-20,2026-08-31,BATCH008,Active
P009,Red Chilli Powder 100g,Spices,SpiceKing,9811001122,Warehouse A,450,100,75,2024-02-15,2026-04-30,BATCH009,Active
P010,Coriander Powder 200g,Spices,SpiceWorld,9700990011,Warehouse B,380,90,55,2024-01-05,2026-01-31,BATCH010,Active
P001,Rice Basmati 5kg,Grains,AgroSupply Co,9876543210,Warehouse A,500,100,250,2024-01-15,2025-06-30,BATCH001,Active
P005,Salt 500g,Grocery,MineralCorp,7766554433,Warehouse B,1200,300,18,2024-02-28,2027-12-31,BATCH005,Active
P003,Sugar 1kg,Grocery,SweetFarm,9988776655,Warehouse A,800,200,45,2024-01-20,2026-01-01,BATCH003,Active
P011,,Oils,PureOil Ltd,9123456780,Warehouse B,200,50,95,2024-03-10,2025-04-30,BATCH011,Active
P012,Mustard Seeds 250g,,SpiceTrade,8899001122,Warehouse A,600,150,60,2024-01-30,2026-06-30,BATCH012,Active
P013,Cardamom 100g,Spices,,7712345678,Warehouse C,400,100,320,2024-02-14,2026-03-31,BATCH013,Active
P014,Cloves 50g,Spices,SpiceHub,,Warehouse A,200,60,290,2024-02-01,2026-11-30,BATCH014,Active
P015,Pepper Black 100g,Spices,SpiceKing,9900112233,,180,60,140,2024-02-01,2025-11-30,BATCH015,Active
